Height,beta_mol,beta_aer,beta_total,alpha_aer,alpha_mol
0.0,1.8725325619177188e-17,1.145475372260771e-06,1.1454753722794964e-06,6.872852233564626e-05,1.5687292107009013e-16
7.5,1.8712342670762643e-17,1.146657493388007e-06,1.1466574934067194e-06,6.879944960328042e-05,1.5676415537579393e-16
15.0,1.8699364824988762e-17,1.1478420569142668e-06,1.147842056932966e-06,6.887052341485601e-05,1.5665543242928022e-16
22.5,1.8686392082831033e-17,1.1490290704167954e-06,1.1490290704354818e-06,6.894174422500773e-05,1.5654675223872118e-16
30.0,1.8673424445266315e-17,1.1502185415042159e-06,1.1502185415228894e-06,6.901311249025295e-05,1.5643811481230056e-16
37.5,1.8660461913272796e-17,1.1514104778166879e-06,1.1514104778353484e-06,6.908462866900127e-05,1.5632952015821318e-16
45.0,1.8647504487830037e-17,1.1526048870260736e-06,1.152604887044721e-06,6.915629322156442e-05,1.5622096828466542e-16
52.5,1.863455216991893e-17,1.153801776836102e-06,1.1538017768547365e-06,6.922810661016611e-05,1.5611245919987476e-16
60.0,1.862160496052174e-17,1.1550011549825336e-06,1.1550011550011552e-06,6.930006929895201e-05,1.5600399291207026e-16
67.5,1.8608662860622067e-17,1.156203029233328e-06,1.1562030292519367e-06,6.937218175399968e-05,1.55895569429492e-16
75.0,1.859572587120488e-17,1.1574074073888116e-06,1.1574074074074074e-06,6.944444444332869e-05,1.5578718876039174e-16
82.5,1.8582793993256496e-17,1.1586142972818457e-06,1.1586142973004285e-06,6.951685783691073e-05,1.5567885091303238e-16
90.0,1.8569867227764605e-17,1.159823706777997e-06,1.1598237067965668e-06,6.958942240667981e-05,1.5557055589568836e-16
97.5,1.855694557571823e-17,1.1610356437757077e-06,1.1610356437942647e-06,6.966213862654247e-05,1.5546230371664533e-16
105.0,1.854402903810779e-17,1.1622501162064674e-06,1.1622501162250115e-06,6.973500697238805e-05,1.553540943842006e-16
112.5,1.8531117615925025e-17,1.1634671320349883e-06,1.1634671320535195e-06,6.98080279220993e-05,1.5524592790666256e-16
120.0,1.8518211310163073e-17,1.1646866992593759e-06,1.1646866992778941e-06,6.988120195556255e-05,1.5513780429235126e-16
127.5,1.8505310121816417e-17,1.1659088259113071e-06,1.1659088259298125e-06,6.995452955467843e-05,1.550297235495981e-16
135.0,1.84924140518809e-17,1.1671335200562039e-06,1.1671335200746963e-06,7.002801120337223e-05,1.5492168568674585e-16
142.5,1.8479523101353752e-17,1.1683607897934144e-06,1.1683607898118939e-06,7.010164738760487e-05,1.5481369071214884e-16
150.0,1.8466637271233557e-17,1.1695906432563872e-06,1.1695906432748538e-06,7.017543859538324e-05,1.5470573863417282e-16
157.5,1.845375656252026e-17,1.1708230886128541e-06,1.1708230886313078e-06,7.024938531677124e-05,1.5459782946119487e-16
165.0,1.8440880976215188e-17,1.1720581340650097e-06,1.1720581340834507e-06,7.032348804390058e-05,1.5448996320160375e-16
172.5,1.8428010513321044e-17,1.1732957878496934e-06,1.1732957878681214e-06,7.039774727098161e-05,1.5438213986379963e-16
180.0,1.841514517484188e-17,1.1745360582385737e-06,1.1745360582569888e-06,7.047216349431443e-05,1.5427435945619407e-16
187.5,1.8402284961783152e-17,1.175778953538329e-06,1.1757789535567313e-06,7.054673721229975e-05,1.5416662198721033e-16
195.0,1.8389429875151662e-17,1.1770244820908383e-06,1.1770244821092279e-06,7.06214689254503e-05,1.54058927465283e-16
202.5,1.8376579915955608e-17,1.1782726522733637e-06,1.1782726522917403e-06,7.069635913640183e-05,1.5395127589885832e-16
210.0,1.8363735085204552e-17,1.1795234724987395e-06,1.1795234725171031e-06,7.077140834992437e-05,1.53843667296394e-16
217.5,1.8350895383909437e-17,1.1807769512155607e-06,1.1807769512339117e-06,7.084661707293364e-05,1.5373610166635928e-16
225.0,1.8338060813082596e-17,1.1820330969083758e-06,1.1820330969267138e-06,7.092198581450255e-05,1.5362857901723507e-16
232.5,1.8325231373737726e-17,1.1832919180978743e-06,1.1832919181161994e-06,7.099751508587246e-05,1.5352109935751367e-16
240.0,1.8312407066889913e-17,1.184553423341081e-06,1.1845534233593935e-06,7.107320540046487e-05,1.5341366269569908e-16
247.5,1.829958789355563e-17,1.1858176212315524e-06,1.1858176212498519e-06,7.114905727389314e-05,1.5330626904030688e-16
255.0,1.8286773854752728e-17,1.187084520399567e-06,1.1870845204178538e-06,7.122507122397402e-05,1.531989183998642e-16
262.5,1.8273964951500453e-17,1.188354129512326e-06,1.1883541295306e-06,7.130124777073957e-05,1.530916107829098e-16
270.0,1.8261161184819416e-17,1.189626457274149e-06,1.1896264572924101e-06,7.137758743644894e-05,1.52984346197994e-16
277.5,1.824836255573164e-17,1.1909015124266724e-06,1.1909015124449207e-06,7.145409074560035e-05,1.5287712465367888e-16
285.0,1.8235569065260524e-17,1.1921793037490511e-06,1.1921793037672867e-06,7.153075822494306e-05,1.5276994615853801e-16
292.5,1.8222780714430864e-17,1.1934598400581587e-06,1.1934598400763815e-06,7.160759040348952e-05,1.5266281072115668e-16
300.0,1.8209997504268833e-17,1.1947431302087912e-06,1.1947431302270012e-06,7.168458781252747e-05,1.5255571835013182e-16
307.5,1.8197219435802015e-17,1.1960291830938705e-06,1.1960291831120677e-06,7.176175098563223e-05,1.5244866905407202e-16
315.0,1.8184446510059378e-17,1.1973180076446509e-06,1.1973180076628354e-06,7.183908045867905e-05,1.5234166284159758e-16
322.5,1.8171678728071282e-17,1.1986096128309234e-06,1.198609612849095e-06,7.191657676985541e-05,1.522346997213404e-16
330.0,1.815891609086949e-17,1.1999040076612267e-06,1.1999040076793856e-06,7.19942404596736e-05,1.521277797019442e-16
337.5,1.8146158599487168e-17,1.201201201183055e-06,1.2012012012012013e-06,7.20720720709833e-05,1.5202090279206435e-16
345.0,1.813340625495886e-17,1.2025012024830689e-06,1.2025012025012024e-06,7.215007214898413e-05,1.5191406900036788e-16
352.5,1.812065905832053e-17,1.2038040206873088e-06,1.2038040207054294e-06,7.222824124123852e-05,1.5180727833553363e-16
360.0,1.8107917010609527e-17,1.2051096649614049e-06,1.2051096649795127e-06,7.23065798976843e-05,1.517005308062521e-16
367.5,1.8095180112864622e-17,1.2064181445107985e-06,1.2064181445288937e-06,7.238508867064791e-05,1.5159382642122565e-16
375.0,1.8082448366125972e-17,1.2077294685809514e-06,1.2077294685990338e-06,7.246376811485708e-05,1.514871651891683e-16
382.5,1.806972177143515e-17,1.2090436464575682e-06,1.209043646475638e-06,7.25426187874541e-05,1.5138054711880588e-16
390.0,1.805700032983512e-17,1.2103606874668133e-06,1.2103606874848703e-06,7.26216412480088e-05,1.5127397221887592e-16
