,Height,Alpha,Beta
0,0.0,-0.014786903292009618,-0.7393451646004809
1,7.5,-0.015122451639634162,-0.7561225819817081
2,15.0,-0.015306820586800567,-0.7653410293400283
3,22.5,-0.015479424705227006,-0.7739712352613503
4,30.0,-0.01580853329977816,-0.790426664988908
5,37.5,-0.016210001563741496,-0.8105000781870748
6,45.0,-0.01649122226261406,-0.8245611131307029
7,52.5,-0.016805022249382972,-0.8402511124691486
8,60.0,-0.016935313582984328,-0.8467656791492164
9,67.5,-0.017104671261476436,-0.8552335630738218
10,75.0,-0.017876468120342763,-0.8938234060171382
11,82.5,-0.018937609823181857,-0.9468804911590929
12,90.0,-0.02059128723745609,-1.0295643618728045
13,97.5,-0.022043490537624173,-1.1021745268812086
14,105.0,-0.02371140005285425,-1.1855700026427125
15,112.5,-0.02537167812517088,-1.268583906258544
16,120.0,-0.026755760067536556,-1.337788003376828
17,127.5,-0.028417636952389608,-1.4208818476194804
18,135.0,-0.029625973797628356,-1.4812986898814178
19,142.5,-0.031193610878158917,-1.559680543907946
20,150.0,-0.0328078294823552,-1.64039147411776
21,157.5,-0.034540875665457514,-1.7270437832728758
22,165.0,-0.036177389691071676,-1.8088694845535838
23,172.5,-0.03761965288358963,-1.8809826441794815
24,180.0,-0.039000915684490225,-1.9500457842245114
25,187.5,-0.039882977026198786,-1.9941488513099392
26,195.0,-0.041037826510645345,-2.0518913255322673
27,202.5,-0.04264842013897129,-2.1324210069485647
28,210.0,-0.043674605737489165,-2.183730286874458
29,217.5,-0.044827342217571925,-2.2413671108785964
30,225.0,-0.04666011680450941,-2.3330058402254705
31,232.5,-0.04744672290573009,-2.3723361452865044
32,240.0,-0.04877757763239413,-2.4388788816197065
33,247.5,-0.05016401267148078,-2.508200633574039
34,255.0,-0.05148724728059467,-2.5743623640297337
35,262.5,-0.05338225660612661,-2.6691128303063305
36,270.0,-0.05500620571756969,-2.7503102858784843
37,277.5,-0.05651655558023765,-2.8258277790118824
38,285.0,-0.056653381967806685,-2.832669098390334
39,292.5,-0.05802787862100422,-2.901393931050211
40,300.0,-0.05994314312831763,-2.9971571564158817
41,307.5,-0.0609570551836801,-3.0478527591840052
42,315.0,-0.06274478510250332,-3.137239255125166
43,322.5,-0.06295218662669191,-3.147609331334596
44,330.0,-0.06408999815089962,-3.204499907544981
45,337.5,-0.06535410689859711,-3.2677053449298556
