,0,1,2,3,4,5,6
0,19259.226036,1741679.100749,17136.056379,1973985.512073,1253.448380,-113400.000000,49312.000000
1,26645.060400,1842126.583264,25013.765622,2230847.336803,1274.518558,-125023.500000,55989.360000
2,36328.152170,1975953.776853,35263.347368,2331397.573689,1334.593132,-137214.000000,64159.040000
3,47361.841880,1894067.321815,44815.261790,2357382.788093,1524.610038,-149971.500000,63776.240000
4,57412.507884,1896707.330558,55214.656809,2381763.117402,1727.247229,-163296.000000,69073.920000
5,66819.642358,1762992.558285,65696.196544,2319169.702331,1802.002512,-177187.500000,78850.000000
6,78124.329942,1699155.831807,77974.372509,2137978.895920,1911.943047,-191646.000000,81714.880000
7,89143.408398,1607027.084513,92170.136080,2079572.047044,2131.031018,-206671.500000,93020.400000
8,103488.001912,1562298.864280,105100.750972,1864866.724396,2270.293118,-222264.000000,97278.720000
9,117512.734067,1529357.099500,118256.087003,1758601.375104,2425.736227,-238423.500000,107042.480000
10,119899.092390,1457922.439634,131256.357739,1674585.636969,2581.505179,-255150.000000,109800.000000
11,116945.765888,1395603.648210,129462.897277,1520729.689009,2813.614661,-272443.500000,116011.920000
12,105081.746253,1313479.513739,118523.669650,1323071.520400,3026.167569,-290304.000000,124436.480000
13,97953.648139,1197937.629892,112876.411478,1229560.340133,3213.277388,-308731.500000,134426.160000
14,89298.554428,1212083.325562,102202.312405,1084307.305579,3388.500937,-327726.000000,146025.920000
15,82092.089452,1142143.182764,90027.247374,1044607.275187,3547.332997,-347287.500000,151998.000000
16,78524.656956,1192559.020816,83326.075695,937621.468776,3684.765231,-367416.000000,162466.560000
17,72973.052165,1146884.024563,74947.011065,932728.425062,3990.937269,-388111.500000,174027.280000
18,71713.580926,1119089.780183,69413.527728,960832.910908,4113.812077,-409374.000000,182406.080000
19,67878.219341,1080456.470858,64744.186290,963626.953789,4428.833239,-431203.500000,192376.080000
20,64171.648626,1100604.829309,58664.763088,923752.206495,4646.057973,-453600.000000,199552.000000
21,60162.299789,989412.665695,52871.584690,902808.273522,4835.133056,-476563.500000,216378.320000
22,57168.398420,1071312.744380,50850.976171,777190.346378,5130.347142,-500094.000000,225933.120000
23,55504.327538,1013819.324313,46172.024959,831959.936303,5373.329246,-524191.500000,219661.200000
24,54286.187419,950899.203997,44167.221209,738721.019151,5604.020296,-548856.000000,231855.360000
25,55586.984291,878904.798085,43340.310046,744227.966278,5741.237181,-574087.500000,251262.000000
26,55512.981887,860920.411324,43695.882448,678567.372190,6187.963632,-599886.000000,261199.040000
27,53348.118141,747706.035387,45472.377639,606999.540799,6202.288611,-626251.500000,262075.760000
28,53906.250312,712957.548709,46239.787469,594256.466278,6590.211595,-653184.000000,281088.000000
29,53891.535991,751969.809742,45916.036931,632769.455870,6930.809166,-680683.500000,293690.320000
30,51088.145540,743165.070774,43269.763092,569871.981682,7125.109467,-708750.000000,309400.000000
31,52589.996081,656241.395920,42141.877971,517366.187760,7558.696251,-737383.500000,313576.560000
32,51914.588009,646768.206495,44623.874054,492261.961699,7882.757032,-766584.000000,319937.280000
33,51071.849932,540320.856370,43260.341943,419283.595754,8102.132059,-796351.500000,346742.960000
34,50506.529175,642846.889259,43044.324217,454375.199001,8430.763151,-826686.000000,336156.480000
35,48025.801299,508196.221898,43491.110893,409021.055371,8815.083952,-857587.500000,368566.000000
36,46618.153375,556219.603664,42637.827735,256589.295587,9063.243079,-889056.000000,360514.560000
37,45652.809170,518437.330142,43249.146253,220183.999584,9471.552366,-921091.500000,404175.600000
38,48934.285633,426498.339717,45391.579014,382382.602831,9783.723235,-953694.000000,406102.080000
39,48331.586223,434810.521649,45823.952254,310903.152789,10056.335049,-986863.500000,421897.200000
40,46172.003555,368742.214821,45994.996520,308042.797669,10548.308620,-1020600.000000,443232.000000
41,46698.488882,311425.392590,45119.957752,178975.142798,10728.402156,-1054903.500000,467655.280000
42,45064.229393,343324.251457,44901.597890,120077.790175,11192.922401,-1089774.000000,444981.440000
43,47800.383331,287567.434221,46257.334794,150007.380100,11525.127558,-1125211.500000,479772.720000
44,47938.870941,131786.497918,45789.099917,35866.431307,11697.197336,-1161216.000000,521994.240000
45,47728.791864,-30283.857202,44100.633612,5334.898002,11949.644045,-1197787.500000,518830.000000
46,46419.365272,29982.409659,45791.772421,-88347.731890,12663.835517,-1234926.000000,533522.880000
47,47097.520677,-242422.819734,48437.227238,-204578.419234,13040.229374,-1272631.500000,558431.600000
48,48312.989586,-76457.705246,49232.987081,-228056.373022,13247.337915,-1310904.000000,552290.560000
