,00355.p,00355.p,00355.s,00355.s,00387.o,00387.o,00355.p
0,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,1.000000
1,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,2.000000
2,22.500000,22.500000,22.500000,22.500000,22.500000,22.500000,3.000000
3,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,4.000000
4,37.500000,37.500000,37.500000,37.500000,37.500000,37.500000,5.000000
5,45.000000,45.000000,45.000000,45.000000,45.000000,45.000000,6.000000
6,52.500000,52.500000,52.500000,52.500000,52.500000,52.500000,7.000000
7,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,8.000000
8,67.500000,67.500000,67.500000,67.500000,67.500000,67.500000,9.000000
9,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,10.000000
10,82.500000,82.500000,82.500000,82.500000,82.500000,82.500000,11.000000
11,90.000000,90.000000,90.000000,90.000000,90.000000,90.000000,12.000000
12,97.500000,97.500000,97.500000,97.500000,97.500000,97.500000,13.000000
13,105.000000,105.000000,105.000000,105.000000,105.000000,105.000000,14.000000
14,112.500000,112.500000,112.500000,112.500000,112.500000,112.500000,15.000000
15,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,16.000000
16,127.500000,127.500000,127.500000,127.500000,127.500000,127.500000,17.000000
17,135.000000,135.000000,135.000000,135.000000,135.000000,135.000000,18.000000
18,142.500000,142.500000,142.500000,142.500000,142.500000,142.500000,19.000000
19,150.000000,150.000000,150.000000,150.000000,150.000000,150.000000,20.000000
20,157.500000,157.500000,157.500000,157.500000,157.500000,157.500000,21.000000
21,165.000000,165.000000,165.000000,165.000000,165.000000,165.000000,22.000000
22,172.500000,172.500000,172.500000,172.500000,172.500000,172.500000,23.000000
23,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,24.000000
24,187.500000,187.500000,187.500000,187.500000,187.500000,187.500000,25.000000
25,195.000000,195.000000,195.000000,195.000000,195.000000,195.000000,26.000000
26,202.500000,202.500000,202.500000,202.500000,202.500000,202.500000,27.000000
27,210.000000,210.000000,210.000000,210.000000,210.000000,210.000000,28.000000
28,217.500000,217.500000,217.500000,217.500000,217.500000,217.500000,29.000000
29,225.000000,225.000000,225.000000,225.000000,225.000000,225.000000,30.000000
30,232.500000,232.500000,232.500000,232.500000,232.500000,232.500000,31.000000
31,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,32.000000
32,247.500000,247.500000,247.500000,247.500000,247.500000,247.500000,33.000000
33,255.000000,255.000000,255.000000,255.000000,255.000000,255.000000,34.000000
34,262.500000,262.500000,262.500000,262.500000,262.500000,262.500000,35.000000
35,270.000000,270.000000,270.000000,270.000000,270.000000,270.000000,36.000000
36,277.500000,277.500000,277.500000,277.500000,277.500000,277.500000,37.000000
37,285.000000,285.000000,285.000000,285.000000,285.000000,285.000000,38.000000
38,292.500000,292.500000,292.500000,292.500000,292.500000,292.500000,39.000000
39,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,40.000000
40,307.500000,307.500000,307.500000,307.500000,307.500000,307.500000,41.000000
41,315.000000,315.000000,315.000000,315.000000,315.000000,315.000000,42.000000
42,322.500000,322.500000,322.500000,322.500000,322.500000,322.500000,43.000000
43,330.000000,330.000000,330.000000,330.000000,330.000000,330.000000,44.000000
44,337.500000,337.500000,337.500000,337.500000,337.500000,337.500000,45.000000
45,345.000000,345.000000,345.000000,345.000000,345.000000,345.000000,46.000000
46,352.500000,352.500000,352.500000,352.500000,352.500000,352.500000,47.000000
47,360.000000,360.000000,360.000000,360.000000,360.000000,360.000000,48.000000
48,367.500000,367.500000,367.500000,367.500000,367.500000,367.500000,49.000000
49,375.000000,375.000000,375.000000,375.000000,375.000000,375.000000,50.000000
50,382.500000,382.500000,382.500000,382.500000,382.500000,382.500000,51.000000
51,390.000000,390.000000,390.000000,390.000000,390.000000,390.000000,52.000000
52,397.500000,397.500000,397.500000,397.500000,397.500000,397.500000,53.000000
53,405.000000,405.000000,405.000000,405.000000,405.000000,405.000000,54.000000
54,412.500000,412.500000,412.500000,412.500000,412.500000,412.500000,55.000000
55,420.000000,420.000000,420.000000,420.000000,420.000000,420.000000,56.000000
