,00355.p,00355.p,00355.s,00355.s,00387.o,00387.o,00355.p
0,20450.435769,2045224.708576,16710.307989,2292667.568693,165.902931,0.000000,4798.080000
1,28383.910523,2158958.368027,25057.779101,2576060.782681,64.198210,0.000000,7047.040000
2,38766.691540,2309639.987510,35924.321031,2687725.228976,0.000000,0.000000,10664.640000
3,50547.281562,2225645.295587,45946.745225,2718794.338052,71.790760,0.000000,4700.160000
4,61187.061243,2235246.669442,56819.058179,2749271.440466,150.793299,0.000000,4700.000000
5,71072.093446,2098498.751041,67711.964781,2686762.281432,85.027410,0.000000,9301.760000
6,82955.345262,2039045.170691,80480.447304,2497932.764363,51.681938,0.000000,6181.920000
7,94477.152828,1950534.554538,95244.530925,2443308.909242,129.988112,0.000000,11916.800000
8,109519.063170,1914307.868443,108580.495944,2222330.245629,116.359256,0.000000,9822.880000
9,124159.114942,1891798.501249,122098.835382,2119421.315570,114.231284,0.000000,13392.000000
10,126319.624165,1829180.682764,135397.319047,2041624.895920,106.589566,0.000000,9225.600000
11,122794.546211,1777398.834305,132883.014155,1890584.512906,174.463988,0.000000,8519.680000
12,109818.787078,1705586.178185,120658.461216,1694365.216486,215.423736,0.000000,9931.680000
13,101928.055864,1599365.945046,114100.838819,1610194.421316,223.390196,0.000000,12762.240000
14,92454.044745,1631718.359700,102240.972972,1472218.463780,212.911563,0.000000,17052.000000
15,84549.427398,1575756.869276,88832.174360,1447074.104913,179.312243,0.000000,15137.280000
16,80517.486140,1647843.984180,81245.393269,1351616.777685,117.404376,0.000000,17742.240000
17,74407.463995,1619089.508743,71907.621538,1364796.419650,227.858824,0.000000,21255.680000
18,72837.571677,1609967.735221,65588.598450,1413352.206495,139.135763,0.000000,21172.320000
19,68563.469244,1590174.854288,60189.710072,1435803.497086,246.986561,0.000000,22528.000000
20,64436.235769,1632886.448793,53316.597792,1414013.530391,246.035205,0.000000,20709.920000
21,60001.391967,1538359.283930,46753.362168,1412778.934221,209.773919,0.000000,28788.480000
22,56640.776190,1647126.457119,44151.897319,1302459.616986,279.081092,0.000000,28992.320000
23,54679.165474,1610378.018318,38764.650470,1381878.434638,287.785081,0.000000,12390.400000
