,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11,00:02:11
0,5.076661,29.691923,5.139333,39.500416,5.092151,0.000000,137.600000
1,5.075869,23.430475,5.136365,26.994172,5.092456,0.000000,133.280000
2,5.074873,18.634471,5.135694,21.282265,5.092497,0.000000,131.200000
3,5.075299,16.802664,5.137646,18.184846,5.091420,0.000000,135.040000
4,5.075340,14.221482,5.135267,16.885928,5.091948,0.000000,139.520000
5,5.073917,12.739384,5.146224,15.070774,5.088045,0.000000,132.320000
6,5.293217,11.890092,11.000700,13.688593,5.121160,0.000000,128.960000
7,6.547908,12.422981,37.341827,13.172356,5.061436,0.000000,131.520000
8,6.089001,12.989176,9.596028,13.721898,5.083736,0.000000,133.440000
9,5.602102,16.752706,2.718458,18.001665,5.156835,0.000000,139.200000
10,5.555978,23.630308,8.108010,25.512073,5.038526,0.000000,140.800000
11,5.415389,30.924230,3.609927,34.038301,5.092253,0.000000,130.080000
12,5.453097,40.316403,6.550632,43.696919,5.109898,0.000000,135.680000
13,5.351152,49.242298,5.036879,53.888426,5.087029,0.000000,136.640000
14,5.330824,56.552873,5.430066,62.631141,5.091623,0.000000,139.200000
15,5.323465,60.000000,5.424557,68.359700,5.089244,0.000000,132.480000
16,5.336007,66.311407,5.217820,73.455454,5.097396,0.000000,134.400000
17,5.359568,71.540383,5.468160,80.432973,5.095384,0.000000,127.840000
18,5.453118,75.137386,5.402887,86.894255,5.087517,0.000000,130.720000
19,5.624484,78.517902,5.616373,91.357202,5.091379,0.000000,130.400000
20,5.834107,81.265612,5.761759,95.986678,5.096278,0.000000,132.480000
21,6.075097,80.616153,5.976973,99.467111,5.090403,0.000000,131.200000
22,6.311106,78.218152,6.228615,98.134888,5.090220,0.000000,131.200000
23,6.507862,72.373022,6.436510,90.308077,5.091176,0.000000,131.520000
24,6.686058,63.713572,6.641275,84.196503,5.093513,0.000000,128.960000
25,6.876817,57.885096,6.813658,77.268943,5.092050,0.000000,131.680000
26,7.064995,50.874271,7.040642,67.277269,5.091115,0.000000,126.400000
27,7.212780,44.712739,7.263133,57.468776,5.092375,0.000000,130.720000
28,7.420045,40.149875,7.515140,51.174022,5.092883,0.000000,127.200000
29,7.463893,37.185679,7.709477,45.478768,5.093066,0.000000,132.160000
30,7.445008,33.505412,7.848359,40.199833,5.091542,0.000000,129.920000
31,7.299439,29.958368,7.740518,32.922565,5.092070,0.000000,131.680000
32,7.020252,27.277269,7.385040,27.876769,5.092741,0.000000,134.880000
33,6.703093,24.712739,7.094877,23.830142,5.092456,0.000000,133.280000
34,6.481171,22.631141,6.822379,20.616153,5.092172,0.000000,130.880000
35,6.286021,21.631973,6.488205,18.984180,5.091318,0.000000,133.120000
36,6.090323,20.083264,6.239429,17.318901,5.091501,0.000000,137.760000
37,5.999192,18.734388,6.089286,16.952540,5.092050,0.000000,139.520000
38,5.923917,18.284763,5.956787,15.453789,5.091826,0.000000,130.560000
39,5.807620,17.951707,5.822337,15.753539,5.092253,0.000000,137.440000
40,5.724701,15.736886,5.700023,14.987510,5.091664,0.000000,136.800000
41,5.656866,15.720233,5.588279,14.554538,5.092029,0.000000,140.160000
42,5.603525,14.754371,5.501641,12.706078,5.091603,0.000000,137.280000
43,5.566223,14.038301,5.467510,12.556203,5.091603,0.000000,134.080000
44,5.544615,12.955870,5.433034,12.722731,5.092578,0.000000,135.200000
45,5.498653,13.022481,5.414596,10.807660,5.092721,0.000000,132.480000
46,5.465233,12.089925,5.393780,11.257286,5.092965,0.000000,134.720000
47,5.458505,11.806828,5.383026,10.224813,5.091562,0.000000,131.680000
48,5.451308,10.524563,5.387560,9.408826,5.091725,0.000000,132.160000
49,5.416263,10.607827,5.373879,9.508743,5.092395,0.000000,138.400000
50,5.408619,10.374688,5.351538,8.909242,5.091582,0.000000,131.680000
51,5.399329,9.641965,5.331779,9.075770,5.092192,0.000000,136.480000
52,5.371175,9.125729,5.327937,8.326395,5.091460,0.000000,129.600000
53,5.353876,8.609492,5.323485,7.710241,5.091115,0.000000,136.160000
54,5.341496,8.809326,5.307955,8.059950,5.091501,0.000000,132.960000
55,5.327978,8.193172,5.295392,7.510408,5.092395,0.000000,133.120000
56,5.314663,8.043297,5.289354,7.110741,5.092334,0.000000,132.160000
57,5.288480,7.893422,5.279231,7.027477,5.092050,0.000000,129.280000
