,00:02:05,00:03:06,00:04:07,00:05:07
7.5,168366713.1317616,168366432.7832234,168363923.82695654,168364674.34431034
15.0,-0.18323838070500642,332.82822338840924,183.6869565207162,220.43431034422247
22.5,-7.743238380760886,519.5682233884581,126.5269565207418,513.0243103442481
30.0,-350.9682383807376,-14.726776611583773,-393.2030434792978,280.67431034421315
37.5,88.98176161927404,281.78322338842554,-701.4480434792931,-533.5606896557729
45.0,76.10676161927404,103.32322338840459,241.38195652072318,-907.6656896557542
52.5,2912.021761619253,3320.723223388428,3527.941956520721,3598.219310344255
60.0,90107.76176161924,76802.15822338843,72499.58195652073,89253.92431034433
67.5,490667.9317616193,416763.92822338844,395443.8969565208,478466.44931034424
75.0,550125.1917616192,421969.44822338846,447194.95695652073,575495.1493103441
82.5,212038.49676161935,122370.64822338842,191527.23695652065,279358.7493103443
90.0,223074.8267616193,143735.44322338834,209007.1669565208,282491.6793103442
97.5,174684.16176161927,95396.66822338843,162473.6769565207,231511.46431034425
105.0,163585.10176161933,95432.84822338837,157715.27695652068,211043.32431034424
112.5,159083.61676161923,94555.19822338846,153929.61695652077,204029.04931034433
120.0,143560.63176161936,80152.28322338843,138682.90195652068,190114.75431034417
127.5,149176.40176161926,84563.4882233885,139397.18695652072,181769.7743103442
135.0,145533.0867616192,79281.94322338834,130219.45695652073,172443.19431034423
142.5,154309.78176161926,83939.70822338847,138901.59695652075,190097.22431034426
150.0,180975.53676161927,89886.16322338843,161854.4319565207,224527.2943103442
157.5,236170.40676161926,108622.60822338838,202748.25195652078,303322.3793103442
165.0,306951.16176161927,137207.22322338837,266655.82695652073,422899.6193103443
172.5,391234.00176161923,166871.8832233884,349144.09195652074,576071.6593103441
180.0,470691.4167616193,197603.57822338835,441670.9969565208,755387.404310344
187.5,549206.2767616193,228562.8732233884,537473.5769565208,939067.7393103442
195.0,634736.6267616192,261586.29322338843,623130.2769565207,1114596.629310344
202.5,707598.0967616194,296287.1332233884,708815.8869565206,1283345.4143103443
210.0,780401.8667616192,330954.94822338846,782072.5019565208,1428951.3443103442
217.5,841581.3067616194,361837.4932233884,847770.3119565209,1553241.579310344
225.0,894030.8617616191,378199.8832233884,916415.1069565208,1634455.5593103443
232.5,922944.4817616192,395741.4882233884,951808.0669565208,1674635.2993103445
240.0,926579.9767616193,401074.17822338844,947011.9219565208,1685064.2743103441
247.5,908150.3167616192,396123.1032233885,927110.9819565208,1641192.6743103445
255.0,862593.4817616192,381192.0282233884,895189.1769565206,1570098.8043103442
262.5,834025.7217616194,358079.7382233884,824874.2069565209,1491763.994310344
270.0,781836.8167616192,340465.5282233884,770763.371956521,1403573.7293103442
277.5,735433.6867616193,328030.3632233884,727652.9869565207,1337546.5243103441
285.0,698443.8667616192,309668.2182233885,674256.6969565207,1257335.2393103442
292.5,668949.7067616193,297471.1032233885,642713.9069565206,1180212.089310344
300.0,636309.6067616192,283885.1032233885,601810.3169565208,1110873.3743103442
307.5,593675.8767616192,279052.95322338835,551242.9269565206,1036686.7393103442
315.0,569262.5367616194,271755.8982233884,504837.0669565207,983669.944310344
322.5,550962.7617616192,269573.0332233884,474075.0419565207,929659.5543103442
330.0,531998.0367616193,270781.3782233884,450157.3019565207,879814.2693103442
337.5,509022.9867616192,359200.79322338843,426117.6269565208,855300.3393103441
345.0,495499.0517616193,629118.4132233884,413085.60695652076,812399.8993103441
352.5,485867.5767616193,1104947.4182233885,403657.48195652076,798924.2343103441
360.0,489903.9867616192,1557755.1332233883,393554.70195652073,825049.2543103441
367.5,505706.39176161925,1993924.5432233883,369614.98195652076,800361.8643103442
375.0,577667.1667616193,2666844.7732233885,362557.5319565208,741373.0443103442
382.5,730405.3567616192,3345292.8432233883,368730.8219565207,689398.8993103441
390.0,1002730.0817616193,3714790.0582233886,362411.5469565207,725236.7393103442
397.5,1361584.7317616192,3555232.5932233883,349572.4319565207,1092582.4343103443
405.0,1595693.0317616193,3172522.1132233883,354879.34195652074,1648087.944310344
412.5,1923125.7267616193,2531676.5732233883,445189.3119565207,1872211.1843103443
420.0,2383950.50676162,1893341.3882233885,610444.0769565208,1767813.859310344
427.5,2659719.9017616194,1391918.1832233884,745480.2169565207,1724853.444310344
435.0,2900019.666761619,997936.4082233885,702283.2869565208,1529944.5143103441
442.5,2882672.371761619,660196.9382233885,710242.6069565208,1316980.674310344
450.0,2862111.3167616194,442804.82822338835,845795.7619565206,1215217.6693103442
457.5,2855021.496761619,244767.1232233884,1033671.9069565206,1020626.4493103442
465.0,2923087.3917616196,103931.83322338847,1290686.8819565207,1007061.569310344
472.5,2973953.88176162,57775.668223388435,1551851.2819565209,920345.8243103442
480.0,2901450.421761619,42346.148223388416,1971762.3169565208,800268.8893103444
