,00:02:05,00:03:06,00:04:07,00:05:07
7.5,168866027.445,168866029.375,168866112.365,168866160.615
15.0,499314.13,499929.42,502372.225,501706.70499999996
22.5,499306.56999999995,500116.16000000003,502315.065,501999.295
30.0,498963.345,499581.865,501795.33499999996,501766.94499999995
37.5,499403.295,499878.375,501487.08999999997,500952.70999999996
45.0,499390.42,499699.915,502429.92,500578.605
52.5,502226.33499999996,502917.315,505716.48,505084.49
60.0,589422.075,576398.75,574688.12,590740.1950000001
67.5,989982.245,916360.52,897632.435,979952.72
75.0,1049439.505,921566.04,949383.495,1076981.42
82.5,711352.81,621967.24,693715.7749999999,780845.02
90.0,722389.14,643332.0349999999,711195.7050000001,783977.95
97.5,673998.475,594993.26,664662.215,732997.735
105.0,662899.415,595029.44,659903.815,712529.595
112.5,658397.9299999999,594151.79,656118.155,705515.3200000001
120.0,642874.9450000001,579748.875,640871.44,691601.0249999999
127.5,648490.715,584160.0800000001,641585.725,683256.0449999999
135.0,644847.3999999999,578878.5349999999,632407.995,673929.465
142.5,653624.095,583536.3,641090.135,691583.495
150.0,680289.85,589482.755,664042.97,726013.565
157.5,735484.72,608219.2,704936.79,804808.6499999999
165.0,806265.475,636803.815,768844.365,924385.89
172.5,890548.315,666468.475,851332.63,1077557.93
180.0,970005.73,697200.1699999999,943859.535,1256873.6749999998
187.5,1048520.59,728159.465,1039662.115,1440554.01
195.0,1134050.94,761182.885,1125318.815,1616082.9
202.5,1206912.4100000001,795883.725,1211004.4249999998,1784831.685
210.0,1279716.18,830551.54,1284261.04,1930437.615
217.5,1340895.62,861434.085,1349958.85,2054727.8499999999
225.0,1393345.1749999998,877796.475,1418603.645,2135941.83
232.5,1422258.795,895338.08,1453996.605,2176121.5700000003
240.0,1425894.29,900670.77,1449200.46,2186550.545
247.5,1407464.63,895719.6950000001,1429299.52,2142678.9450000003
255.0,1361907.795,880788.62,1397377.7149999999,2071585.075
262.5,1333340.0350000001,857676.33,1327062.745,1993250.265
270.0,1281151.13,840062.12,1272951.9100000001,1905060.0
277.5,1234748.0,827626.955,1229841.525,1839032.795
285.0,1197758.18,809264.81,1176445.2349999999,1758821.51
292.5,1168264.02,797067.6950000001,1144902.4449999998,1681698.3599999999
300.0,1135623.92,783481.6950000001,1103998.855,1612359.645
307.5,1092990.19,778649.5449999999,1053431.4649999999,1538173.01
315.0,1068576.85,771352.49,1007025.605,1485156.2149999999
322.5,1050277.075,769169.625,976263.58,1431145.825
330.0,1031312.35,770377.97,952345.84,1381300.54
337.5,1008337.2999999999,858797.385,928306.165,1356786.6099999999
345.0,994813.365,1128715.005,915274.145,1313886.17
